"","gni","leb","eye","mmr","abr","prp","edu.rat","lab.rat"
"El Salvador",7349,73,12.3,69,76,27.4,0.844036697247706,0.605063291139241
"South Africa",12122,57.4,13.6,140,50.9,40.7,0.957839262187088,0.735537190082645
"Viet Nam",5092,75.8,11.9,49,29,24.3,0.834269662921348,0.888077858880779
"Bolivia (Plurinational State of)",5760,68.3,13.2,200,71.9,51.8,0.805414551607445,0.793572311495674
"Kyrgyzstan",3044,70.6,12.5,75,29.3,23.3,0.976239669421488,0.70440251572327
"Iraq",14003,69.4,10.1,67,68.7,26.5,0.553784860557769,0.213467048710602
"Guyana",6522,66.4,10.3,250,88.5,31.3,1.26150627615063,0.529192546583851
"Nicaragua",4457,74.9,11.5,100,100.8,39.1,1.02872062663185,0.590286425902864
"Morocco",6850,74,11.6,120,35.8,11,0.685430463576159,0.349604221635884
"Namibia",9418,64.8,11.3,130,54.9,37.7,0.968023255813953,0.858712715855573
"Guatemala",6929,71.8,10.7,140,97.2,13.3,0.943965517241379,0.558956916099773
"Tajikistan",2517,69.4,11.2,44,42.8,15.2,1.04276315789474,0.763942931258106
"India",5497,68,11.7,190,32.8,12.2,0.477031802120141,0.337922403003755
"Honduras",3938,73.1,11.1,120,84,25.8,1.08527131782946,0.516284680337756
"Bhutan",7176,69.5,12.6,120,40.9,8.3,0.985507246376812,0.863989637305699
"Syrian Arab Republic",2728,69.6,12.3,49,41.6,12.4,0.728395061728395,0.185694635488308
"Congo",6012,62.3,11.1,410,126.7,11.5,0.84468085106383,0.938356164383562
"Zambia",3734,60.1,13.5,280,125.4,12.7,0.586363636363636,0.853971962616822
"Ghana",3852,61.4,11.5,380,58.4,10.9,0.698608964451314,0.942577030812325
"Bangladesh",3191,71.6,10,170,80.6,20,0.825665859564165,0.682520808561237
"Cambodia",2949,68.4,10.9,170,44.3,19,0.432314410480349,0.910982658959538
"Kenya",2762,61.6,11,400,93.6,20.8,0.805732484076433,0.859116022099447
"Nepal",2311,69.6,12.4,190,73.7,29.5,0.463350785340314,0.917336394948335
"Pakistan",4866,66.2,7.8,170,27.3,19.7,0.418655097613883,0.296743063932449
"Myanmar",4608,65.9,8.6,200,12.1,4.7,1.49673202614379,0.913730255164034
"Swaziland",5542,49,11.3,310,72,14.7,0.842307692307692,0.613128491620112
"Tanzania (United Republic of)",2411,65,9.2,410,122.7,36,0.589473684210526,0.976718403547672
"Cameroon",2803,55.5,10.4,590,115.8,27.1,0.610315186246418,0.830729166666667
"Zimbabwe",1615,57.5,10.9,470,60.3,35.1,0.785483870967742,0.927536231884058
"Mauritania",3560,63.1,8.5,320,73.3,22.2,0.397129186602871,0.36283185840708
"Papua New Guinea",2463,62.6,9.9,220,62.1,2.7,0.524137931034483,0.952702702702703
"Yemen",3519,63.8,9.2,270,47,0.7,0.322097378277154,0.35180055401662
"Lesotho",3306,49.8,11.1,490,89.4,26.8,1.15263157894737,0.802721088435374
"Togo",1228,59.7,12.2,450,91.5,17.6,0.399503722084367,0.991389913899139
"Haiti",1669,62.8,8.7,380,42,3.5,0.636363636363636,0.857746478873239
"Rwanda",1458,64.2,10.3,320,33.6,57.5,0.909090909090909,1.01289566236811
"Uganda",1613,58.5,9.8,360,126.6,35,0.683582089552239,0.957070707070707
"Benin",1767,59.6,11.1,340,90.2,8.4,0.418518518518519,0.863346104725415
"Sudan",3809,63.5,7,360,84,23.8,0.664835164835165,0.411842105263158
"Senegal",2188,66.5,7.9,320,94.4,42.7,0.467532467532468,0.75
"Afghanistan",1885,60.4,9.3,400,86.8,27.6,0.197986577181208,0.19874213836478
"Côte d'Ivoire",3171,51.5,8.9,720,130.3,9.2,0.465116279069767,0.643734643734644
"Malawi",747,62.8,10.8,510,144.8,16.7,0.513888888888889,1.03803680981595
"Ethiopia",1428,64.1,8.5,420,78.4,25.5,0.428571428571429,0.875699888017917
"Gambia",1507,60.2,8.8,430,115.8,9.4,0.552380952380952,0.870928829915561
"Congo (Democratic Republic of the)",680,58.7,9.8,730,135.3,8.2,0.395061728395062,0.965846994535519
"Liberia",805,60.9,9.5,640,117.4,10.7,0.391857506361323,0.898148148148148
"Mali",1583,58,8.4,550,175.6,9.5,0.509933774834437,0.624078624078624
"Mozambique",1123,55.1,9.3,480,137.8,39.6,0.225806451612903,1.03260869565217
"Sierra Leone",1780,50.9,8.6,1100,100.7,12.4,0.460829493087558,0.952173913043478
"Burkina Faso",1591,58.7,7.8,400,115.4,13.3,0.28125,0.856666666666667
"Burundi",758,56.7,10.1,740,30.3,34.9,0.63855421686747,1.01585365853659
"Chad",2085,51.6,7.4,980,152,14.9,0.171717171717172,0.808080808080808
"Central African Republic",581,50.7,7.2,880,98.3,12.5,0.378277153558052,0.853113983548766
"Niger",908,61.4,5.4,630,204.8,13.3,0.307692307692308,0.445930880713489
